Date,Open,High,Low,Close,Adj Close,Volume
2018-01-31,8.220000,8.580000,8.220000,8.480000,8.480000,6700
2018-02-01,8.410000,8.525000,8.300000,8.350000,8.350000,21600
2018-02-02,8.300000,8.700000,8.000000,8.000000,8.000000,7500
2018-02-05,8.270000,8.645000,7.950000,8.100000,8.100000,12000
2018-02-06,9.200000,9.200000,8.020000,8.020000,8.020000,1900
2018-02-07,8.050000,8.564000,8.000000,8.000000,8.000000,2400
2018-02-08,8.080000,8.100000,7.655000,8.000000,8.000000,15800
2018-02-09,8.000000,8.550000,7.900000,8.380000,8.380000,13500
2018-02-12,8.052000,8.540000,8.052000,8.220000,8.220000,2200
2018-02-13,8.210000,8.520000,8.010000,8.470000,8.470000,1400
2018-02-14,8.260000,8.260000,8.000000,8.060000,8.060000,10700
2018-02-15,8.000000,8.160000,8.000000,8.160000,8.160000,3600
2018-02-16,8.000000,8.651000,8.000000,8.060000,8.060000,3500
2018-02-20,8.060000,8.060000,8.060000,8.060000,8.060000,0
2018-02-21,8.060000,8.060000,8.060000,8.060000,8.060000,0
2018-02-22,8.860000,8.860000,8.016000,8.130000,8.130000,4900
2018-02-23,8.391000,8.391000,8.000000,8.100000,8.100000,35500
2018-02-26,8.000000,8.020000,8.000000,8.020000,8.020000,700
2018-02-27,8.080000,8.080000,8.080000,8.080000,8.080000,300
2018-02-28,8.140000,8.140000,8.020000,8.130000,8.130000,1100
2018-03-01,8.100000,8.470000,8.000000,8.130000,8.130000,5200
2018-03-02,8.006000,8.150000,8.006000,8.150000,8.150000,400
2018-03-05,8.110000,8.560000,8.060000,8.510000,8.510000,3800
2018-03-06,8.250000,8.320000,8.010000,8.220000,8.220000,3800
2018-03-07,8.350000,8.350000,8.000000,8.000000,8.000000,900
2018-03-08,8.000000,8.000000,8.000000,8.000000,8.000000,0
2018-03-09,8.000000,8.000000,8.000000,8.000000,8.000000,0
2018-03-12,8.300000,8.480000,7.030000,8.010000,8.010000,27700
2018-03-13,8.650000,9.160000,8.440000,8.440000,8.440000,2900
2018-03-14,8.750000,9.050000,8.700000,8.730000,8.730000,7400
2018-03-15,9.040000,9.040000,8.490000,8.740000,8.740000,13400
2018-03-16,8.490000,8.490000,8.490000,8.490000,8.490000,300
2018-03-19,8.360000,8.929000,8.050000,8.050000,8.050000,7500
2018-03-20,8.130000,8.360000,8.130000,8.290000,8.290000,1500
2018-03-21,8.290000,8.290000,8.290000,8.290000,8.290000,0
2018-03-22,8.380000,8.450000,8.090000,8.090000,8.090000,1300
2018-03-23,8.490000,8.500000,6.600000,8.210000,8.210000,34400
2018-03-26,8.240000,8.430000,7.810000,8.260000,8.260000,20400
2018-03-27,8.380000,8.380000,7.680000,7.680000,7.680000,15700
2018-03-28,7.670000,8.150000,7.150000,7.410000,7.410000,17000
2018-03-29,7.600000,7.890000,7.220000,7.260000,7.260000,13400
2018-04-02,7.240000,7.240000,6.980000,7.000000,7.000000,9400
2018-04-03,7.200000,7.250000,7.200000,7.250000,7.250000,5500
2018-04-04,7.250000,7.250000,7.250000,7.250000,7.250000,600
2018-04-05,7.250000,7.250000,7.040000,7.100000,7.100000,2200
2018-04-06,7.110000,7.110000,6.792000,7.000000,7.000000,35700
2018-04-09,7.130000,7.481000,6.450000,6.810000,6.810000,27000
2018-04-10,6.760000,7.430000,6.760000,7.280000,7.280000,1200
2018-04-11,7.000000,7.050000,6.845000,7.010000,7.010000,4500
2018-04-12,7.010000,7.010000,7.010000,7.010000,7.010000,0
2018-04-13,7.010000,7.530000,7.010000,7.450000,7.450000,400
2018-04-16,7.222000,7.222000,7.090000,7.090000,7.090000,1300
2018-04-17,7.460000,7.460000,7.460000,7.460000,7.460000,400
2018-04-18,7.500000,8.130000,7.480000,8.090000,8.090000,10800
2018-04-19,8.450000,8.500000,7.950000,8.000000,8.000000,5900
2018-04-20,8.000000,8.000000,8.000000,8.000000,8.000000,400
2018-04-23,8.220000,8.220000,7.790000,7.790000,7.790000,700
2018-04-24,7.750000,7.950000,7.730000,7.855000,7.855000,2200
2018-04-25,7.900000,7.950000,7.900000,7.950000,7.950000,800
2018-04-26,7.873000,8.300000,7.873000,7.880000,7.880000,9700
2018-04-27,8.257000,8.257000,8.257000,8.257000,8.257000,500
2018-04-30,8.290000,8.290000,7.980000,8.000000,8.000000,1600
2018-05-01,8.000000,8.045000,8.000000,8.045000,8.045000,800
2018-05-02,7.800000,8.000000,7.520000,7.520000,7.520000,19300
2018-05-03,7.520000,7.520000,7.520000,7.520000,7.520000,0
2018-05-04,7.550000,7.773000,7.449000,7.734000,7.734000,3100
2018-05-07,7.770000,7.770000,7.370000,7.540000,7.540000,11700
2018-05-08,7.680000,7.908000,7.600000,7.620000,7.620000,10100
2018-05-09,7.300000,7.500000,6.220000,6.889000,6.889000,62800
2018-05-10,7.050000,7.310000,6.720000,6.980000,6.980000,122300
2018-05-11,7.110000,7.336000,6.880000,7.120000,7.120000,4600
2018-05-14,7.250000,7.250000,6.730000,6.870000,6.870000,12200
2018-05-15,6.800000,7.017000,6.600000,6.990000,6.990000,15300
2018-05-16,6.900000,7.140000,6.730000,6.990000,6.990000,16500
2018-05-17,7.000000,7.110000,6.840000,7.100000,7.100000,63500
2018-05-18,7.080000,7.080000,6.910000,6.910000,6.910000,6000
2018-05-21,7.000000,7.100000,7.000000,7.080000,7.080000,5400
2018-05-22,7.025000,7.060000,6.820000,6.880000,6.880000,11000
2018-05-23,6.780000,6.900000,6.750000,6.800000,6.800000,3600
2018-05-24,6.651000,6.770000,6.490000,6.770000,6.770000,10900
2018-05-25,6.780000,6.780000,6.390000,6.720000,6.720000,50400
2018-05-29,6.590000,6.730000,6.590000,6.695000,6.695000,3400
2018-05-30,6.780000,6.920000,6.520000,6.555000,6.555000,78800
2018-05-31,6.583000,6.720000,6.430000,6.450000,6.450000,1500
2018-06-01,6.510000,6.760000,5.970000,6.560000,6.560000,6300
2018-06-04,6.520000,6.620000,6.270000,6.340000,6.340000,9000
2018-06-05,6.340000,7.000000,6.150000,6.600000,6.600000,31400
2018-06-06,6.540000,6.990000,6.260000,6.510000,6.510000,6000
2018-06-07,6.510000,6.510000,6.050000,6.070000,6.070000,4800
2018-06-08,6.010000,6.265000,5.970000,6.020000,6.020000,22000
2018-06-11,6.195000,6.250000,5.990000,6.044000,6.044000,4100
2018-06-12,6.000000,6.479000,6.000000,6.200000,6.200000,19500
2018-06-13,6.360000,6.360000,6.000000,6.020000,6.020000,5700
2018-06-14,6.040000,6.241000,6.040000,6.080000,6.080000,1800
2018-06-15,6.060000,6.470000,6.020000,6.280000,6.280000,6700
2018-06-18,6.220000,6.450000,6.120000,6.120000,6.120000,3900
2018-06-19,6.440000,6.459000,6.000000,6.130000,6.130000,13400
2018-06-20,6.090000,6.230000,5.970000,6.000000,6.000000,14900
2018-06-21,5.990000,6.050000,5.725000,5.870000,5.870000,14600
2018-06-22,5.890000,6.010000,5.800000,6.000000,6.000000,4600
2018-06-25,5.970000,6.080000,5.671000,6.060000,6.060000,4200
2018-06-26,5.920000,6.140000,5.810000,5.960000,5.960000,7400
2018-06-27,5.990000,6.010000,5.850000,5.960000,5.960000,5600
2018-06-28,6.110000,6.110000,4.750000,5.000000,5.000000,686800
2018-06-29,5.150000,6.030000,5.150000,5.790000,5.790000,195600
2018-07-02,5.800000,6.060000,5.704000,6.010000,6.010000,7300
2018-07-03,5.800000,5.960000,5.400000,5.940000,5.940000,9500
2018-07-05,5.890000,5.890000,5.650000,5.851000,5.851000,14600
2018-07-06,5.660000,6.050000,5.651000,6.030000,6.030000,6700
2018-07-09,6.000000,6.930000,5.890000,6.780000,6.780000,22600
2018-07-10,6.717000,6.932000,6.660000,6.670000,6.670000,7800
2018-07-11,6.610000,6.760000,6.590000,6.640000,6.640000,1600
2018-07-12,6.690000,6.690000,6.240000,6.250000,6.250000,41400
2018-07-13,6.880000,6.880000,6.330000,6.720000,6.720000,6300
2018-07-16,6.700000,6.890000,6.635000,6.750000,6.750000,14600
2018-07-17,6.780000,7.200000,6.150000,7.090000,7.090000,93800
2018-07-18,7.250000,7.370000,6.810000,7.140000,7.140000,24800
2018-07-19,7.250000,7.390000,7.050000,7.050000,7.050000,38000
2018-07-20,6.950000,7.320000,6.930000,7.320000,7.320000,5000
2018-07-23,7.320000,7.320000,7.285000,7.285000,7.285000,700
2018-07-24,7.250000,7.275000,6.990000,7.170000,7.170000,15000
2018-07-25,7.200000,7.200000,7.155000,7.155000,7.155000,1000
2018-07-26,7.170000,7.480000,7.170000,7.410000,7.410000,11100
2018-07-27,7.380000,7.380000,6.830000,7.000000,7.000000,6200
2018-07-30,6.930000,7.605000,6.780000,6.860000,6.860000,15100
2018-07-30,6.930000,7.160000,6.780000,6.860000,6.860000,15062
