Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,6.750000,6.800000,6.600000,6.800000,6.800000,5200
2018-02-02,6.700000,6.800000,6.551000,6.750000,6.750000,6900
2018-02-05,6.700000,6.750000,6.600000,6.700000,6.700000,2900
2018-02-06,6.750000,7.000000,6.650000,6.850000,6.850000,11900
2018-02-07,6.950000,6.950000,6.898000,6.898000,6.898000,700
2018-02-08,7.000000,7.250000,6.950000,7.050000,7.050000,11600
2018-02-09,7.050000,7.050000,6.900000,7.000000,7.000000,18800
2018-02-12,7.050000,7.050000,6.900000,6.900000,6.900000,1500
2018-02-13,6.950000,7.100000,6.950000,7.100000,7.100000,4600
2018-02-14,7.050000,7.150000,6.950000,6.950000,6.950000,8400
2018-02-15,7.000000,7.050000,6.959000,6.980000,6.980000,5200
2018-02-16,7.100000,7.100000,7.095000,7.100000,7.100000,700
2018-02-20,7.100000,7.100000,6.900000,6.950000,6.950000,4500
2018-02-21,6.900000,6.900000,6.800000,6.900000,6.900000,8300
2018-02-22,6.900000,6.950000,6.600000,6.700000,6.700000,12300
2018-02-23,6.600000,6.750000,6.600000,6.650000,6.650000,1800
2018-02-26,6.800000,6.850000,6.600000,6.700000,6.700000,6200
2018-02-27,6.633000,6.635000,6.633000,6.635000,6.635000,2600
2018-02-28,6.600000,6.800000,6.600000,6.800000,6.800000,6500
2018-03-01,6.800000,6.800000,6.750000,6.800000,6.800000,600
2018-03-02,6.800000,6.800000,6.750000,6.750000,6.750000,2900
2018-03-05,6.850000,6.950000,6.836000,6.850000,6.850000,800
2018-03-06,6.900000,6.900000,6.850000,6.850000,6.850000,1000
2018-03-07,7.050000,7.050000,6.850000,6.850000,6.850000,1900
2018-03-08,6.936000,6.936000,6.900000,6.900000,6.900000,1100
2018-03-09,6.950000,6.954000,6.660000,6.850000,6.850000,4700
2018-03-12,6.950000,7.100000,6.800000,7.100000,7.100000,5400
2018-03-13,7.000000,7.250000,6.800000,7.100000,7.100000,2300
2018-03-14,6.865000,7.300000,6.865000,7.250000,7.250000,5000
2018-03-15,7.031000,7.200000,6.884000,7.100000,7.100000,6800
2018-03-16,7.100000,7.250000,6.936000,7.250000,7.250000,17000
2018-03-19,6.784000,7.300000,6.784000,7.300000,7.300000,6400
2018-03-20,7.300000,7.300000,6.850000,7.250000,7.250000,5200
2018-03-21,7.000000,7.200000,6.850000,7.113000,7.113000,4600
2018-03-22,7.200000,7.200000,7.100000,7.100000,7.100000,800
2018-03-23,7.200000,7.200000,7.150000,7.150000,7.150000,900
2018-03-26,7.010000,7.013000,6.750000,7.013000,7.013000,1800
2018-03-27,6.900000,7.250000,6.764000,7.200000,7.200000,4600
2018-03-28,6.800000,7.100000,6.620000,7.075000,7.075000,1800
2018-03-29,6.600000,7.150000,6.600000,7.150000,7.150000,6300
2018-04-02,6.600000,7.198000,6.600000,7.150000,7.150000,5700
2018-04-03,7.200000,7.200000,6.934000,7.050000,7.050000,3800
2018-04-04,7.100000,7.304000,7.075000,7.075000,7.075000,6400
2018-04-05,7.101000,7.150000,6.830000,6.830000,6.830000,5500
2018-04-06,7.000000,7.082000,6.800000,6.850000,6.850000,4100
2018-04-09,6.900000,7.075000,6.794000,7.075000,7.075000,3300
2018-04-10,7.100000,7.100000,6.600000,6.700000,6.700000,25400
2018-04-11,6.750000,6.900000,6.600000,6.600000,6.600000,900
2018-04-12,6.650000,6.800000,6.650000,6.700000,6.700000,1800
2018-04-13,6.700000,6.800000,6.700000,6.800000,6.800000,400
2018-04-16,6.800000,6.800000,6.800000,6.800000,6.800000,0
2018-04-17,6.700000,6.850000,6.700000,6.755000,6.755000,3000
2018-04-18,6.650000,6.850000,6.650000,6.750000,6.750000,4300
2018-04-19,6.600000,6.750000,6.600000,6.750000,6.750000,300
2018-04-20,6.810000,6.810000,6.810000,6.810000,6.810000,500
2018-04-23,6.850000,6.850000,6.806000,6.806000,6.806000,2000
2018-04-24,6.900000,6.900000,6.900000,6.900000,6.900000,500
2018-04-25,6.800000,6.950000,6.785000,6.850000,6.850000,2100
2018-04-26,6.850000,6.850000,6.700000,6.700000,6.700000,600
2018-04-27,6.650000,6.845000,6.650000,6.845000,6.845000,2500
2018-04-30,6.845000,6.845000,6.845000,6.845000,6.845000,0
2018-05-01,6.850000,6.850000,6.701000,6.800000,6.800000,2900
2018-05-02,6.850000,6.950000,6.780000,6.950000,6.950000,4900
2018-05-03,6.700000,6.850000,6.650000,6.750000,6.750000,3100
2018-05-04,6.750000,6.750000,6.650000,6.750000,6.750000,500
2018-05-07,6.784000,6.784000,6.784000,6.784000,6.784000,300
2018-05-08,6.710000,6.761000,6.680000,6.761000,6.761000,2800
2018-05-09,6.683000,6.683000,6.683000,6.683000,6.683000,600
2018-05-10,6.841000,7.000000,6.841000,6.880000,6.880000,3000
2018-05-11,7.050000,7.300000,6.975000,7.200000,7.200000,30900
2018-05-14,8.250000,8.250000,7.210000,7.350000,7.350000,24600
